file_id,uuid,filename,dataset,speaker_id,sentence_id,emotion_raw,emotion_label,intensity,gender_x,age_x,orig_sample_rate,orig_duration_s,proc_sample_rate,proc_duration_s,silence_trimmed_s,split,split_strategy,gender_y,age_y
1001_DFA_ANG_XX,crema_d_1001_DFA_ANG_XX,1001_DFA_ANG_XX.wav,crema_d,1001,DFA,ANG,anger,unspecified,,,16000.0,2.2755625,16000.0,3.0,1.1555625,,,male,51
1001_DFA_DIS_XX,crema_d_1001_DFA_DIS_XX,1001_DFA_DIS_XX.wav,crema_d,1001,DFA,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_DFA_FEA_XX,crema_d_1001_DFA_FEA_XX,1001_DFA_FEA_XX.wav,crema_d,1001,DFA,FEA,fear,unspecified,,,,,,,,,,male,51
1001_DFA_HAP_XX,crema_d_1001_DFA_HAP_XX,1001_DFA_HAP_XX.wav,crema_d,1001,DFA,HAP,happy,unspecified,,,16000.0,1.8685,16000.0,3.0,0.9725,,,male,51
1001_DFA_NEU_XX,crema_d_1001_DFA_NEU_XX,1001_DFA_NEU_XX.wav,crema_d,1001,DFA,NEU,neutral,unspecified,,,16000.0,2.035375,16000.0,3.0,1.107375,,,male,51
1001_DFA_SAD_XX,crema_d_1001_DFA_SAD_XX,1001_DFA_SAD_XX.wav,crema_d,1001,DFA,SAD,sad,unspecified,,,,,,,,,,male,51
1001_IEO_ANG_HI,crema_d_1001_IEO_ANG_HI,1001_IEO_ANG_HI.wav,crema_d,1001,IEO,ANG,anger,high,,,16000.0,1.93525,16000.0,3.0,0.84725,,,male,51
1001_IEO_ANG_LO,crema_d_1001_IEO_ANG_LO,1001_IEO_ANG_LO.wav,crema_d,1001,IEO,ANG,anger,low,,,16000.0,2.06875,16000.0,3.0,1.30075,,,male,51
1001_IEO_ANG_MD,crema_d_1001_IEO_ANG_MD,1001_IEO_ANG_MD.wav,crema_d,1001,IEO,ANG,anger,medium,,,16000.0,2.6359375,16000.0,3.0,1.0679375,,,male,51
1001_IEO_DIS_HI,crema_d_1001_IEO_DIS_HI,1001_IEO_DIS_HI.wav,crema_d,1001,IEO,DIS,disgust,high,,,,,,,,,,male,51
1001_IEO_DIS_LO,crema_d_1001_IEO_DIS_LO,1001_IEO_DIS_LO.wav,crema_d,1001,IEO,DIS,disgust,low,,,,,,,,,,male,51
1001_IEO_DIS_MD,crema_d_1001_IEO_DIS_MD,1001_IEO_DIS_MD.wav,crema_d,1001,IEO,DIS,disgust,medium,,,,,,,,,,male,51
1001_IEO_FEA_HI,crema_d_1001_IEO_FEA_HI,1001_IEO_FEA_HI.wav,crema_d,1001,IEO,FEA,fear,high,,,,,,,,,,male,51
1001_IEO_FEA_LO,crema_d_1001_IEO_FEA_LO,1001_IEO_FEA_LO.wav,crema_d,1001,IEO,FEA,fear,low,,,,,,,,,,male,51
1001_IEO_FEA_MD,crema_d_1001_IEO_FEA_MD,1001_IEO_FEA_MD.wav,crema_d,1001,IEO,FEA,fear,medium,,,,,,,,,,male,51
1001_IEO_HAP_HI,crema_d_1001_IEO_HAP_HI,1001_IEO_HAP_HI.wav,crema_d,1001,IEO,HAP,happy,high,,,16000.0,1.7684375,16000.0,3.0,0.6484375,,,male,51
1001_IEO_HAP_LO,crema_d_1001_IEO_HAP_LO,1001_IEO_HAP_LO.wav,crema_d,1001,IEO,HAP,happy,low,,,16000.0,1.7016875,16000.0,3.0,0.9336875,,,male,51
1001_IEO_HAP_MD,crema_d_1001_IEO_HAP_MD,1001_IEO_HAP_MD.wav,crema_d,1001,IEO,HAP,happy,medium,,,16000.0,1.6683125,16000.0,3.0,0.9323125,,,male,51
1001_IEO_NEU_XX,crema_d_1001_IEO_NEU_XX,1001_IEO_NEU_XX.wav,crema_d,1001,IEO,NEU,neutral,unspecified,,,16000.0,1.601625,16000.0,3.0,0.001625,,,male,51
1001_IEO_SAD_HI,crema_d_1001_IEO_SAD_HI,1001_IEO_SAD_HI.wav,crema_d,1001,IEO,SAD,sad,high,,,,,,,,,,male,51
1001_IEO_SAD_LO,crema_d_1001_IEO_SAD_LO,1001_IEO_SAD_LO.wav,crema_d,1001,IEO,SAD,sad,low,,,,,,,,,,male,51
1001_IEO_SAD_MD,crema_d_1001_IEO_SAD_MD,1001_IEO_SAD_MD.wav,crema_d,1001,IEO,SAD,sad,medium,,,,,,,,,,male,51
1001_IOM_ANG_XX,crema_d_1001_IOM_ANG_XX,1001_IOM_ANG_XX.wav,crema_d,1001,IOM,ANG,anger,unspecified,,,16000.0,2.1354375,16000.0,3.0,1.1434375,,,male,51
1001_IOM_DIS_XX,crema_d_1001_IOM_DIS_XX,1001_IOM_DIS_XX.wav,crema_d,1001,IOM,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_IOM_FEA_XX,crema_d_1001_IOM_FEA_XX,1001_IOM_FEA_XX.wav,crema_d,1001,IOM,FEA,fear,unspecified,,,,,,,,,,male,51
1001_IOM_HAP_XX,crema_d_1001_IOM_HAP_XX,1001_IOM_HAP_XX.wav,crema_d,1001,IOM,HAP,happy,unspecified,,,16000.0,2.002,16000.0,3.0,0.978,,,male,51
1001_IOM_NEU_XX,crema_d_1001_IOM_NEU_XX,1001_IOM_NEU_XX.wav,crema_d,1001,IOM,NEU,neutral,unspecified,,,16000.0,2.469125,16000.0,3.0,1.317125,,,male,51
1001_IOM_SAD_XX,crema_d_1001_IOM_SAD_XX,1001_IOM_SAD_XX.wav,crema_d,1001,IOM,SAD,sad,unspecified,,,,,,,,,,male,51
1001_ITH_ANG_XX,crema_d_1001_ITH_ANG_XX,1001_ITH_ANG_XX.wav,crema_d,1001,ITH,ANG,anger,unspecified,,,16000.0,2.369,16000.0,3.0,0.993,,,male,51
1001_ITH_DIS_XX,crema_d_1001_ITH_DIS_XX,1001_ITH_DIS_XX.wav,crema_d,1001,ITH,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_ITH_FEA_XX,crema_d_1001_ITH_FEA_XX,1001_ITH_FEA_XX.wav,crema_d,1001,ITH,FEA,fear,unspecified,,,,,,,,,,male,51
1001_ITH_HAP_XX,crema_d_1001_ITH_HAP_XX,1001_ITH_HAP_XX.wav,crema_d,1001,ITH,HAP,happy,unspecified,,,16000.0,2.469125,16000.0,3.0,1.221125,,,male,51
1001_ITH_NEU_XX,crema_d_1001_ITH_NEU_XX,1001_ITH_NEU_XX.wav,crema_d,1001,ITH,NEU,neutral,unspecified,,,16000.0,2.602625,16000.0,3.0,0.618625,,,male,51
1001_ITH_SAD_XX,crema_d_1001_ITH_SAD_XX,1001_ITH_SAD_XX.wav,crema_d,1001,ITH,SAD,sad,unspecified,,,,,,,,,,male,51
1001_ITS_ANG_XX,crema_d_1001_ITS_ANG_XX,1001_ITS_ANG_XX.wav,crema_d,1001,ITS,ANG,anger,unspecified,,,16000.0,2.56925,16000.0,3.0,0.93725,,,male,51
1001_ITS_DIS_XX,crema_d_1001_ITS_DIS_XX,1001_ITS_DIS_XX.wav,crema_d,1001,ITS,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_ITS_FEA_XX,crema_d_1001_ITS_FEA_XX,1001_ITS_FEA_XX.wav,crema_d,1001,ITS,FEA,fear,unspecified,,,,,,,,,,male,51
1001_ITS_HAP_XX,crema_d_1001_ITS_HAP_XX,1001_ITS_HAP_XX.wav,crema_d,1001,ITS,HAP,happy,unspecified,,,16000.0,2.2021875,16000.0,3.0,1.0181875,,,male,51
1001_ITS_NEU_XX,crema_d_1001_ITS_NEU_XX,1001_ITS_NEU_XX.wav,crema_d,1001,ITS,NEU,neutral,unspecified,,,16000.0,2.43575,16000.0,3.0,0.22775,,,male,51
1001_ITS_SAD_XX,crema_d_1001_ITS_SAD_XX,1001_ITS_SAD_XX.wav,crema_d,1001,ITS,SAD,sad,unspecified,,,,,,,,,,male,51
1001_IWL_ANG_XX,crema_d_1001_IWL_ANG_XX,1001_IWL_ANG_XX.wav,crema_d,1001,IWL,ANG,anger,unspecified,,,16000.0,3.1698125,16000.0,3.0,1.0578125,,,male,51
1001_IWL_DIS_XX,crema_d_1001_IWL_DIS_XX,1001_IWL_DIS_XX.wav,crema_d,1001,IWL,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_IWL_FEA_XX,crema_d_1001_IWL_FEA_XX,1001_IWL_FEA_XX.wav,crema_d,1001,IWL,FEA,fear,unspecified,,,,,,,,,,male,51
1001_IWL_HAP_XX,crema_d_1001_IWL_HAP_XX,1001_IWL_HAP_XX.wav,crema_d,1001,IWL,HAP,happy,unspecified,,,16000.0,2.102125,16000.0,3.0,0.950125,,,male,51
1001_IWL_NEU_XX,crema_d_1001_IWL_NEU_XX,1001_IWL_NEU_XX.wav,crema_d,1001,IWL,NEU,neutral,unspecified,,,16000.0,2.8361875,16000.0,3.0,1.3321875,,,male,51
1001_IWL_SAD_XX,crema_d_1001_IWL_SAD_XX,1001_IWL_SAD_XX.wav,crema_d,1001,IWL,SAD,sad,unspecified,,,,,,,,,,male,51
1001_IWW_ANG_XX,crema_d_1001_IWW_ANG_XX,1001_IWW_ANG_XX.wav,crema_d,1001,IWW,ANG,anger,unspecified,,,16000.0,2.2755625,16000.0,3.0,1.1555625,,,male,51
1001_IWW_DIS_XX,crema_d_1001_IWW_DIS_XX,1001_IWW_DIS_XX.wav,crema_d,1001,IWW,DIS,disgust,unspecified,,,,,,,,,,male,51
1001_IWW_FEA_XX,crema_d_1001_IWW_FEA_XX,1001_IWW_FEA_XX.wav,crema_d,1001,IWW,FEA,fear,unspecified,,,,,,,,,,male,51
1001_IWW_HAP_XX,crema_d_1001_IWW_HAP_XX,1001_IWW_HAP_XX.wav,crema_d,1001,IWW,HAP,happy,unspecified,,,16000.0,1.968625,16000.0,3.0,0.976625,,,male,51
1001_IWW_NEU_XX,crema_d_1001_IWW_NEU_XX,1001_IWW_NEU_XX.wav,crema_d,1001,IWW,NEU,neutral,unspecified,,,16000.0,2.2689375,16000.0,3.0,0.2209375,,,male,51
1001_IWW_SAD_XX,crema_d_1001_IWW_SAD_XX,1001_IWW_SAD_XX.wav,crema_d,1001,IWW,SAD,sad,unspecified,,,,,,,,,,male,51
