file_name,file_path,actor_id,emotion,sentence,intensity,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
1022_ITS_ANG_XX.wav,../data/processed_data/processed_audio/1022_ITS_ANG_XX.wav,1022,ANG,ITS,XX,33.554028,0.13335833,29.844292,32.074005,36.359715,6.515423,75.13051,37.419884,85.64924,70.09768,1.3503511,0.67716324,0.53259325,1.1502404,1.9481144,1.4155211,14.809438,10.193979,16.172838,3.9735603,0.8717009,0.9546381,19.828032,0.7141741,4.4893274,3.5567038,15.139748,1.4249431,-13.918708,-1.4490585,0.030722868,1.2522111,1.3593091,0.5171318,4.5622935,0.5052527,5.828439,2.0405316,15.08357,0.5649885,580.22784,0.4011101,1270.5758,0.2345728,-67.47729,-1.2973608,1724.5212,0.17884243,784.488,0.3917605,-66.81846,-1.1007185,2652.467,0.10841818,1146.6373,0.49899006,-63.77897,-1.178823,-9.762106,-0.6957181,15.789103,0.5022553,0.050704386,0.44306117,-0.03311257,-0.59185266,1.0563185,0.7952341,21.761948,0.5948337,-0.6704944,-20.917751,18.212822,1.2762703,-19.097355,-1.1250913,-9.794143,16.552635,0.025416266,-0.018277263,0.5276223,3.0864198,5.194805,0.13,0.065,0.061999995,0.033105887,-14.917347
1037_ITS_ANG_XX.wav,../data/processed_data/processed_audio/1037_ITS_ANG_XX.wav,1037,ANG,ITS,XX,33.797947,0.15668899,27.83946,33.94374,39.20516,11.365698,213.22888,224.95468,21.324003,7.7747498,0.7540516,0.7467691,0.20883287,0.6455385,1.1107161,0.90188324,11.348931,6.473855,6.082249,2.6972177,0.46171245,0.98022854,22.278461,0.59679705,17.226002,0.9165143,7.223973,2.1473067,-9.585234,-1.7338988,0.016484631,1.0571889,1.3062387,0.64829767,6.7006297,0.66370195,1.5817186,7.142887,22.547758,0.48990372,731.35986,0.27376875,1340.1134,0.14893696,-109.03699,-0.86406314,1860.616,0.13361561,995.06573,0.33824366,-111.9382,-0.76305425,2861.046,0.09065476,935.54297,0.37942904,-111.880165,-0.76218104,-17.012003,-0.49712658,26.52333,0.3837014,0.032166414,0.6473628,-0.036901165,-0.49255037,0.71044296,0.64666784,29.6011,0.381421,7.0925064,2.1892235,4.273677,4.7726173,-21.428331,-0.6694352,-17.149254,24.847929,-0.0065950756,-0.012657938,0.22427356,2.7027028,2.4054985,0.19857143,0.09731077,0.17125,0.09346623,-19.386902
1060_ITS_NEU_XX.wav,../data/processed_data/processed_audio/1060_ITS_NEU_XX.wav,1060,NEU,ITS,XX,33.27218,0.04000665,32.571785,33.174286,35.001087,2.4293022,50.563854,51.252827,11.337596,5.761066,1.0670508,0.4245156,0.6964544,0.9229873,1.3829862,0.6865318,8.484233,5.726421,6.422915,4.7047935,0.8348687,0.39602476,22.622858,0.29155806,17.345078,0.60526025,8.913383,0.9553998,2.1348457,3.6131377,0.015893,0.8427995,1.3977035,0.5450952,6.549955,0.3692587,7.1060343,1.1263077,23.488285,0.64487195,525.5081,0.22136647,1439.606,0.14071861,-165.13982,-0.43888432,1613.9596,0.10959065,1235.7324,0.20963779,-165.78587,-0.4032335,2558.4875,0.11501455,958.9573,0.32319292,-165.88503,-0.4017604,-17.265945,-0.50278324,23.332142,0.3660349,0.002571776,7.5819864,-0.02783958,-0.37369183,1.1995134,0.29678562,27.56953,0.16676871,10.524559,1.6675442,7.7006917,1.9451364,-2.2342906,-4.9720745,-17.63299,26.104479,-0.021643596,-0.018002076,0.75957066,2.9288704,2.1367521,0.081999995,0.037094474,0.30333334,0.3172626,-17.028395
1075_ITS_NEU_XX.wav,../data/processed_data/processed_audio/1075_ITS_NEU_XX.wav,1075,NEU,ITS,XX,33.86321,0.10044628,31.627243,32.89054,36.872204,5.244961,98.76585,91.597664,127.04017,70.957664,1.1390593,0.52765733,0.59786636,1.061452,1.5985875,1.0007212,13.800292,11.023665,7.6412315,3.449855,1.0660176,0.58398587,23.435791,0.3545177,20.53581,0.56448954,10.4454155,1.0421163,-2.8582604,-4.373958,0.051144894,1.1270735,1.1982476,0.28762656,5.8484063,0.29510424,12.272978,0.58374316,25.644892,0.3072074,730.989,0.2388703,1282.2653,0.11414413,-162.42754,-0.4482036,1908.8656,0.103411585,785.1689,0.45473146,-165.26767,-0.40431976,2870.8882,0.07941526,956.1079,0.52289855,-164.54726,-0.41487017,-16.452662,-0.3736654,21.713701,0.36122778,-0.003962262,-5.0253377,-0.041089706,-0.21660084,1.5865923,0.28958535,26.606384,0.18828599,12.062899,0.9248429,19.489185,0.53276277,-14.415993,-0.8677117,-19.43953,28.168022,-0.025569297,-0.028534776,0.9564153,2.8925622,1.6877638,0.1125,0.036314595,0.36599997,0.33720022,-15.342699
1008_TAI_HAP_XX.wav,../data/processed_data/processed_audio/1008_TAI_HAP_XX.wav,1008,HAP,TAI,XX,39.07475,0.0983489,37.08496,39.86215,41.501396,4.4164352,25.703985,14.132037,161.22511,110.621864,0.7351078,0.86915433,0.2000193,0.48313904,1.2295707,1.0295515,11.8286085,10.131458,6.5033007,3.4826217,0.48923546,1.153927,20.74721,0.3948333,17.499285,0.6445685,9.120477,1.8081933,-9.700415,-2.5899854,0.03868804,2.940525,1.1834892,0.55233324,8.316908,0.32798228,15.93919,0.95755357,24.982294,0.35193115,623.80756,0.32198623,1336.299,0.15681003,-145.76897,-0.5808744,1701.7992,0.12921247,1057.2616,0.366568,-127.95691,-0.65458465,2780.6125,0.09467315,951.6096,0.43524215,-127.71441,-0.6579724,-16.196121,-0.37194943,23.670944,0.3068477,0.022886131,0.93219125,-0.035715472,-0.48251903,0.8507395,0.66793084,22.938875,0.34617528,10.123176,1.1769917,4.059268,4.8612976,-28.350605,-0.8417796,-18.181257,27.274956,-0.018923454,-0.011766232,0.24496321,2.5396826,1.9354839,0.205,0.098446265,0.24857143,0.23228237,-18.340698
1039_TSI_HAP_XX.wav,../data/processed_data/processed_audio/1039_TSI_HAP_XX.wav,1039,HAP,TSI,XX,36.14044,0.20689172,30.341402,33.220573,41.787407,11.446005,21.399265,10.387786,134.94409,0.0,1.2924768,0.6781955,0.7147861,0.9292817,1.8181807,1.1033945,8.176173,3.692414,11.910716,9.418696,0.79913425,1.0513735,17.807129,0.7683845,3.603586,6.416012,6.518144,1.2559232,-4.0441604,-2.5888407,0.019561896,0.9118964,1.2294618,0.45740324,7.2820573,0.42009404,7.9534354,1.672333,19.173649,0.6509091,838.5761,0.3155143,1102.5907,0.201114,-59.446762,-1.3609335,1889.4885,0.15516482,939.7935,0.40936327,-56.28811,-1.2525045,2853.2703,0.08450902,794.48804,0.20764808,-57.75013,-1.209385,-11.761105,-0.41755876,19.23378,0.34963197,0.051231034,0.4030644,-0.00885648,-1.3791684,0.9807968,0.93172324,21.743298,0.5324362,-2.0092876,-10.637471,6.207323,1.3355645,-4.848205,-2.3812716,-9.599931,15.405375,0.034992423,-0.0054298444,0.35602617,3.6036036,3.773585,0.19749999,0.10894379,0.06,0.03559026,-13.513229
1064_ITS_HAP_XX.wav,../data/processed_data/processed_audio/1064_ITS_HAP_XX.wav,1064,HAP,ITS,XX,37.44428,0.14442112,33.934807,36.717625,44.057793,10.122986,83.76999,54.548264,-19.811737,20.797745,1.2081932,0.44217736,0.6695557,1.2375288,1.6316941,0.96213835,17.442802,5.653468,11.007597,5.71407,1.134329,0.6547262,19.883282,0.6021955,15.73096,0.66492796,9.777266,1.2177714,-10.234549,-1.4091487,0.021918232,1.0091648,1.6105745,0.597099,8.172,0.42595646,9.775309,0.87441134,15.260076,0.65913594,706.76013,0.33349824,1429.347,0.20153347,-108.72678,-0.7699638,1774.9099,0.1558031,963.3842,0.24612862,-99.45272,-0.7838002,2748.7246,0.111975305,999.80347,0.37089202,-98.344574,-0.8008184,-16.706535,-0.35311267,23.766869,0.24888797,0.040568516,0.61633396,-0.021940265,-0.7713893,1.263966,0.49052688,18.721247,0.5185079,13.059642,0.583929,14.373739,0.6549319,-12.45297,-1.1082264,-15.706041,25.51235,0.020475429,-0.026011288,1.065219,4.6979866,4.166667,0.13166666,0.10155731,0.086666666,0.05676462,-14.038033
1071_ITS_HAP_XX.wav,../data/processed_data/processed_audio/1071_ITS_HAP_XX.wav,1071,HAP,ITS,XX,33.484924,0.1016004,31.504986,33.304565,34.952568,3.4475822,79.90703,29.497967,-43.974182,56.135883,0.8153842,0.8435538,0.22534695,0.61129713,1.4241493,1.1988024,14.971712,8.16972,11.099558,6.664926,0.6043288,0.94209594,25.413685,0.36654407,16.77239,0.7740118,5.3203664,2.9734764,-3.0468867,-3.875489,0.01661443,0.62741166,1.3144588,0.54763484,6.4342403,0.4310426,5.0850997,1.8562254,27.669912,0.3653864,663.0896,0.3078798,1418.4429,0.16205712,-142.32481,-0.5917522,1735.3333,0.13887057,1095.4794,0.28653854,-144.2346,-0.5434642,2764.5242,0.10607257,1024.9425,0.2655702,-145.27725,-0.5291805,-16.52205,-0.42755404,24.18463,0.3206911,0.036546562,0.51353425,-0.035787717,-0.45109752,1.0788321,0.48876497,27.75699,0.34906042,9.870885,1.6352886,5.579671,2.5669885,-10.313698,-1.3017398,-18.304117,28.747055,-0.0079788845,-0.02097274,0.40539274,3.5714285,2.739726,0.10666667,0.08158158,0.20285715,0.23956594,-17.589466
1018_IWL_ANG_XX.wav,../data/processed_data/processed_audio/1018_IWL_ANG_XX.wav,1018,ANG,IWL,XX,36.975037,0.052065473,35.503727,37.123356,38.429733,2.9260063,13.716188,2.7974744,-21.69346,27.844995,0.9427906,0.7748384,0.24282733,0.85907775,1.3640003,1.121173,11.769704,6.8601294,9.963025,6.372706,0.53020793,0.90572906,26.211842,0.23966293,8.656466,1.7068127,1.392233,8.62437,-12.289961,-1.6304821,0.012002363,0.7418846,1.0380732,0.49078497,8.679962,0.2902463,6.2166724,1.5306541,24.514265,0.34718773,610.89526,0.30243075,1442.8041,0.15287367,-113.1358,-0.8279818,1632.6349,0.17696126,1175.2906,0.2562169,-105.74066,-0.83012474,2740.6047,0.07424655,838.06836,0.30285794,-108.68013,-0.7813279,-14.73932,-0.4748265,24.684614,0.26391166,0.037833877,0.40456632,-0.031351972,-0.5218002,0.8302295,0.583271,28.802008,0.2150889,3.3497136,4.0706844,-0.8849323,-12.858219,-26.79293,-0.5477037,-14.909772,26.680714,-0.01043809,-0.006024382,0.22829717,3.3816426,1.980198,0.255,0.21383405,0.182,0.13962807,-18.04206
1059_IEO_ANG_MD.wav,../data/processed_data/processed_audio/1059_IEO_ANG_MD.wav,1059,ANG,IEO,MD,43.321663,0.045246463,43.502457,43.989998,44.73431,1.2318535,17.522884,5.644887,0.118136086,6.2643456,1.9710888,0.5556017,1.0081183,1.7706836,3.2325082,2.22439,21.289627,8.778652,13.311028,10.176044,1.4351752,0.6898115,16.076809,0.44142067,-11.395166,-1.6309997,-15.458417,-0.758967,-19.641651,-0.6692114,0.010665397,0.91197854,1.1546445,0.38276446,9.543981,0.35315657,13.35073,0.6508815,24.213514,0.23105912,717.45874,0.38103533,1280.7009,0.15964365,-88.273384,-1.0819025,1763.3191,0.17953001,1002.4058,0.13594103,-66.09441,-1.2387811,2774.6724,0.09783348,943.66174,0.25010175,-71.78674,-1.0932792,-7.887208,-0.5982294,21.349228,0.21163084,0.05293514,0.40308097,-0.011143331,-1.089926,1.5986569,0.53998756,17.286404,0.389567,-13.061519,-1.3349253,-18.244614,-0.62621343,-20.886915,-0.64426666,-1.0851452,14.032365,0.03267145,0.0026806872,1.3168882,5.607477,2.9411764,0.22999999,0.15577762,0.12,0.04,-11.361421
